NACA65-421 airfoil with an aspect ratio of 17.  Original -180 to 180deg Cl, Cd, and Cm versus AOA data taken from Appendix A of DOWEC document 10046_009.pdf (numerical values obtained from Koert Lindenburg of ECN).
Cl and Cd values corrected for rotational stall delay and Cd values corrected using the Viterna method for 0 to 90deg AOA by Jason Jonkman using AirfoilPrep_v2p0.xls.
   1        Number of airfoil tables in this file
   0.0      Table ID parameter
   8.00     Stall angle (deg)
   0.00	    No longer used, enter zero                                                      
   0.00	    No longer used, enter zero                                                      
   0.00	    No longer used, enter zero
  -3.5973   Zero Cn angle of attack (deg)
   6.1992   Cn slope for zero lift (dimensionless)
   1.2548   Cn extrapolated to value at positive stall angle of attack
  -0.2245   Cn at stall value for negative angle of attack
   0.50     Angle of attack for minimum CD (deg)
   0.0053   Minimum CD value
-180.00    0.000   0.0100   0.0000
-175.00    0.246   0.0100   0.2000
-170.00    0.492   0.0100   0.4000
-160.00    0.985   0.0824   0.0598
-155.00    0.959   0.1903   0.1064
-150.00    0.934   0.2983   0.1529
-145.00    0.876   0.4312   0.1799
-140.00    0.819   0.5642   0.2068
-135.00    0.762   0.7066   0.2332
-130.00    0.704   0.8489   0.2595
-125.00    0.633   0.9842   0.2877
-120.00    0.562   1.1194   0.3159
-115.00    0.476   1.2319   0.3444
-110.00    0.390   1.3444   0.3728
-105.00    0.293   1.4213   0.3985
-100.00    0.197   1.4982   0.4243
 -95.00    0.098   1.5310   0.4438
 -90.00    0.000   1.5639   0.4633
 -85.00   -0.098   1.5310   0.4693
 -80.00   -0.197   1.4982   0.4752
 -75.00   -0.293   1.4213   0.4727
 -70.00   -0.390   1.3444   0.4702
 -65.00   -0.476   1.2319   0.4622
 -60.00   -0.562   1.1194   0.4542
 -55.00   -0.633   0.9842   0.4455
 -50.00   -0.704   0.8489   0.4368
 -45.00   -0.762   0.7066   0.4348
 -40.00   -0.819   0.5642   0.4328
 -35.00   -0.876   0.4312   0.4517
 -30.00   -0.934   0.2983   0.4707
 -25.00   -0.948   0.2040   0.5130
 -24.00   -0.951   0.1852   0.5215
 -23.00   -0.953   0.1663   0.5300
 -22.00   -0.956   0.1475   0.5385
 -21.00   -0.959   0.1286   0.5469
 -20.00   -0.962   0.1098   0.5554
 -19.00   -0.901   0.1046   0.5355
 -18.00   -0.840   0.0993   0.5156
 -17.00   -0.779   0.0941   0.4957
 -16.00   -0.718   0.0889   0.4758
 -15.00   -0.658   0.0837   0.4559
 -14.50   -0.627   0.0810   0.4459
 -12.01   -0.475   0.0680   0.3963
 -11.00   -0.414   0.0628   0.3763
  -9.98   -0.354   0.0579   0.3559
  -8.12   -0.220   0.0480   0.3048
  -7.62   -0.184   0.0454   0.2908
  -7.11   -0.147   0.0427   0.2768
  -6.60   -0.110   0.0400   0.2627
  -6.50   -0.103   0.0395   0.2601
  -6.00   -0.067   0.0368   0.2464
  -5.50   -0.031   0.0342   0.2326
  -5.00    0.005   0.0316   0.2188
  -4.50    0.041   0.0289   0.2051
  -4.00    0.077   0.0263   0.1913
  -3.50    0.112   0.0237   0.1776
  -3.00    0.148   0.0210   0.1638
  -2.50    0.184   0.0184   0.1501
  -2.00    0.220   0.0158   0.1363
  -1.50    0.256   0.0132   0.1226
  -1.00    0.292   0.0105   0.1088
  -0.50    0.328   0.0079   0.0951
   0.00    0.364   0.0053   0.0813
   0.50    0.425   0.0053   0.0828
   1.00    0.486   0.0053   0.0842
   1.50    0.546   0.0053   0.0855
   2.00    0.605   0.0054   0.0867
   2.50    0.663   0.0055   0.0876
   3.00    0.724   0.0055   0.0890
   3.50    0.783   0.0056   0.0901
   4.00    0.841   0.0057   0.0910
   4.50    0.898   0.0058   0.0919
   5.00    0.952   0.0061   0.0922
   5.50    1.000   0.0067   0.0915
   6.00    1.028   0.0084   0.0873
   6.50    1.055   0.0098   0.0833
   7.00    1.078   0.0111   0.0785
   7.50    1.099   0.0126   0.0742
   8.00    1.115   0.0145   0.0696
   8.50    1.127   0.0167   0.0651
   9.00    1.150   0.0185   0.0623
   9.50    1.177   0.0202   0.0602
  10.00    1.201   0.0221   0.0579
  10.50    1.231   0.0237   0.0563
  11.00    1.256   0.0257   0.0546
  11.50    1.278   0.0281   0.0527
  12.00    1.300   0.0306   0.0511
  12.50    1.329   0.0327   0.0501
  13.00    1.352   0.0354   0.0489
  13.50    1.377   0.0379   0.0479
  14.00    1.397   0.0410   0.0470
  14.50    1.417   0.0441   0.0461
  15.00    1.436   0.0474   0.0452
  15.50    1.448   0.0515   0.0444
  16.00    1.451   0.0566   0.0433
  16.50    1.474   0.0599   0.0433
  17.00    1.498   0.0631   0.0433
  17.50    1.512   0.0673   0.0434
  18.00    1.528   0.0714   0.0433
  18.50    1.535   0.0759   0.0427
  19.00    1.543   0.0812   0.0433
  19.50    1.553   0.0863   0.0440
  20.00    1.559   0.0922   0.0451
  20.50    1.565   0.0981   0.0464
  21.00    1.567   0.1047   0.0481
  22.00    1.551   0.1212   0.0532
  23.00    1.525   0.1436   0.0419
  24.00    1.498   0.1660   0.0306
  25.00    1.472   0.1884   0.0192
  26.00    1.445   0.2108   0.0079
  28.00    1.392   0.2556  -0.0147
  30.00    1.339   0.3004  -0.0373
  32.00    1.306   0.3539  -0.0496
  35.00    1.257   0.4340  -0.0680
  40.00    1.175   0.5676  -0.0986
  45.00    1.093   0.7104  -0.1232
  50.00    1.011   0.8531  -0.1477
  55.00    0.909   0.9885  -0.1711
  60.00    0.807   1.1237  -0.1946
  65.00    0.683   1.2358  -0.2175
  70.00    0.559   1.3477  -0.2404
  75.00    0.420   1.4239  -0.2617
  80.00    0.281   1.4998  -0.2829
  85.00    0.141   1.5317  -0.3008
  90.00    0.000   1.5639  -0.3186
  95.00   -0.098   1.5310  -0.3246
 100.00   -0.197   1.4982  -0.3305
 105.00   -0.293   1.4213  -0.3280
 110.00   -0.390   1.3444  -0.3255
 115.00   -0.476   1.2319  -0.3175
 120.00   -0.562   1.1194  -0.3095
 125.00   -0.633   0.9842  -0.3008
 130.00   -0.704   0.8489  -0.2921
 135.00   -0.762   0.7066  -0.2901
 140.00   -0.819   0.5642  -0.2881
 145.00   -0.876   0.4312  -0.3070
 150.00   -0.934   0.2983  -0.3260
 155.00   -0.959   0.1903  -0.3715
 160.00   -0.985   0.0824  -0.4170
 170.00   -0.492   0.0100  -0.5000
 175.00   -0.246   0.0100  -0.2500
 180.00    0.000   0.0100   0.0000
